Player,Team,Points,Cost,Position,Goals_Scored,Assists,Saves,Yellow_Card,Red_Card,Min_Played,TSB,CS,Shots_On_Target,Goals_Conceded,BPS
Alisson,Liverpool,89,6.2,GK,0,1,45,0,1,1733,9.3,10,0,12,408
Ederson,Man City,82,6,GK,0,0,50,3,1,2171,11.7,9,0,27,406
Kepa,Chelsea,69,5.4,GK,0,0,42,0,0,2250,4.3,6,0,32,387
Schmeichel,Leicester,119,5.4,GK,0,0,81,2,0,2610,14.3,10,0,28,552
de Gea,Man Utd,103,5.3,GK,0,0,75,2,0,2610,11.4,8,0,30,464
Lloris,Spurs,51,5.3,GK,0,0,50,0,0,998,3.4,2,0,14,239
Henderson,Sheffield Utd,122,5.3,GK,0,1,70,2,0,2430,16.3,10,0,22,513
Pickford,Everton,84,5.2,GK,0,0,75,1,0,2610,6.4,6,0,46,473
Patricio,Wolves,116,5.2,GK,0,0,77,0,0,2610,9.9,8,0,34,516
Dubravka,Newcastle,118,5.1,GK,0,0,116,0,0,2610,1.8,9,0,41,578
Leno,Arsenal,108,5,GK,0,0,104,2,0,2520,5.6,7,0,36,560
Guaita,Crystal Palace,116,5,GK,0,0,89,1,0,2430,2.1,9,0,28,522
Pope,Burnley,128,4.9,GK,0,0,89,0,0,2610,18.8,11,0,40,598
Foster,Watford,111,4.9,GK,0,0,89,1,0,2610,4.2,9,1,44,538
Fabianski,West Ham,59,4.9,GK,0,0,46,1,0,1307,2,4,0,22,277
Caballero,Chelsea,7,4.8,GK,0,0,9,0,0,360,0.3,0,0,7,49
Ryan,Brighton,102,4.7,GK,0,0,92,0,0,2610,13.9,6,0,40,577
Bravo,Man City,11,4.7,GK,0,0,8,0,0,346,0.3,1,0,7,69
Grant,Man Utd,0,4.7,GK,0,0,0,0,0,0,0.1,0,0,0,0
Romero,Man Utd,0,4.6,GK,0,0,0,0,0,0,0.2,0,0,0,0
Krul,Norwich,91,4.6,GK,0,0,95,4,0,2430,2.6,5,0,45,510
Mignolet,Liverpool,0,4.5,GK,0,0,0,0,0,0,0,0,0,0,0
McCarthy,Southampton,68,4.5,GK,0,0,58,0,0,1710,4.7,4,0,27,338
Ramsdale,Bournemouth,96,4.5,GK,0,1,102,0,0,2520,3.5,4,0,44,520
Reina,Aston Villa,19,4.5,GK,0,0,23,1,0,540,0.5,0,0,13,110
Fahrmann,Norwich,1,4.4,GK,0,0,1,0,0,21,0.3,0,0,1,6
Roberto,West Ham,18,4.4,GK,0,0,36,0,0,686,0.3,0,0,17,134
Verrips,Sheffield Utd,0,4.4,GK,0,0,0,0,0,0,0,0,0,0,0
Kelleher,Liverpool,0,4.4,GK,0,0,0,0,0,0,0,0,0,0,0
Nyland,Aston Villa,3,4.3,GK,0,0,8,0,0,177,0.2,0,0,8,34
Heaton,Aston Villa,59,4.3,GK,0,0,67,0,0,1794,2.5,4,0,35,346
Darlow,Newcastle,0,4.3,GK,0,0,0,0,0,0,0.1,0,0,0,0
Eastwood,Sheffield Utd,0,4.3,GK,0,0,0,0,0,0,0.1,0,0,0,0
Steer,Aston Villa,1,4.3,GK,0,0,0,0,0,7,0.1,0,0,0,3
Moore,Sheffield Utd,1,4.3,GK,0,0,2,0,0,90,0.1,0,0,3,9
Peacock-Farrell,Burnley,0,4.3,GK,0,0,0,0,0,0,0.1,0,0,0,0
Gomes,Watford,0,4.3,GK,0,0,0,0,0,0,0.2,0,0,0,0
Begovic,Bournemouth,0,4.2,GK,0,0,0,0,0,0,0.7,0,0,0,0
Boruc,Bournemouth,0,4.2,GK,0,0,0,0,0,0,0.2,0,0,0,0
Travers,Bournemouth,1,4.2,GK,0,0,2,0,0,90,0.2,0,0,3,9
Hart,Burnley,0,4.2,GK,0,0,0,0,0,0,1.1,0,0,0,0
Hennessey,Crystal Palace,6,4.2,GK,0,0,13,0,0,180,0.6,0,0,4,42
Jakupovic,Leicester,0,4.2,GK,0,0,0,0,0,0,0.1,0,0,0,0
Ward,Leicester,0,4.2,GK,0,0,0,0,0,0,0.2,0,0,0,0
Forster,Southampton,0,4.2,GK,0,0,0,0,0,0,0.3,0,0,0,0
Gunn,Southampton,29,4.2,GK,0,0,30,0,0,900,1.4,2,0,25,166
Gazzaniga,Spurs,58,4.2,GK,0,0,59,1,0,1612,2,2,0,26,300
Dahlberg,Watford,0,4.2,GK,0,0,0,0,0,0,0.1,0,0,0,0
Ruddy,Wolves,0,4.2,GK,0,0,0,0,0,0,0.4,0,0,0,0
Martinez,Arsenal,0,4.2,GK,0,0,0,0,0,0,0.2,0,0,0,0
Kalinic,Aston Villa,0,4.2,GK,0,0,0,0,0,0,0.1,0,0,0,0
Lossl,Everton,0,4.2,GK,0,0,0,0,0,0,0.2,0,0,0,0
Lonergan,Liverpool,0,4.2,GK,0,0,0,0,0,0,0,0,0,0,0
Vorm,Spurs,0,4.2,GK,0,0,0,0,0,0,0,0,0,0,0
McGovern,Norwich,11,4.1,GK,0,0,7,0,0,158,6.1,0,0,6,46
Adrian,Liverpool,27,4,GK,0,0,18,1,0,873,2.1,2,0,10,136
Whiteman,Spurs,0,4,GK,0,0,0,0,0,0,0.5,0,0,0,0
Lewis,Southampton,0,4,GK,0,0,0,0,0,0,0.2,0,0,0,0
Mair,Norwich,0,4,GK,0,0,0,0,0,0,0.1,0,0,0,0
Henderson,Crystal Palace,0,4,GK,0,0,0,0,0,0,0.4,0,0,0,0
Austin,Spurs,0,4,GK,0,0,0,0,0,0,0.2,0,0,0,0
Carson,Man City,0,4,GK,0,0,0,0,0,0,0.1,0,0,0,0
Elliot,Newcastle,0,4,GK,0,0,0,0,0,0,0.1,0,0,0,0
Anang,West Ham,0,4,GK,0,0,0,0,0,0,0.1,0,0,0,0
Randolph,West Ham,3,4,GK,0,0,6,0,0,180,0.1,0,0,5,27
Virgínia,Everton,0,4,GK,0,0,0,0,0,0,0,0,0,0,0
Button,Brighton,0,3.9,GK,0,0,0,0,0,0,20.5,0,0,0,0
Stekelenburg,Everton,0,3.9,GK,0,0,0,0,0,0,7,0,0,0,0
Woodman,Newcastle,0,3.9,GK,0,0,0,0,0,0,0.7,0,0,0,0
Norris,Wolves,0,3.9,GK,0,0,0,0,0,0,0.7,0,0,0,0
Martin,West Ham,20,3.9,GK,0,0,3.9,1,0,435,1.6,2,0,6,86
Alexander-Arnold,Liverpool,166,7.8,DEF,2,14,0,4,0,2594,44.6,11,8,21,727
Robertson,Liverpool,137,7,DEF,1,7,0,1,0,2443,19.8,11,5,20,641
van Dijk,Liverpool,141,6.5,DEF,4,1,0,1,0,2610,44.4,12,11,21,631
Pereira,Leicester,123,6.3,DEF,3,2,0,1,0,2520,12.7,10,5,27,568
Laporte,Man City,22,6.3,DEF,0,0,0,1,0,504,2,3,1,3,118
Doherty,Wolves,117,6.3,DEF,4,5,0,1,0,2147,8.8,7,16,26,416
Alonso,Chelsea,77,6.2,DEF,4,3,0,3,0,858,4.2,5,6,7,264
Rudiger,Chelsea,43,6,DEF,2,0,0,3,0,1125,0.6,3,3,13,228
Azpilicueta,Chelsea,88,5.9,DEF,2,3,0,0,0,2419,6,5,6,38,494
David Luiz,Arsenal,79,5.7,DEF,2,1,0,4,1,2185,5.3,6,6,32,413
Digne,Everton,83,5.7,DEF,0,5,0,2,0,2241,11.1,6,4,40,474
van Aanholt,Crystal Palace,87,5.6,DEF,3,0,0,0,0,1892,5.5,7,4,24,404
Walker,Man City,73,5.6,DEF,1,2,0,4,0,1807,11.1,7,2,22,391
Bellerín,Arsenal,25,5.5,DEF,1,0,0,2,0,623,1.2,2,1,10,116
Chilwell,Leicester,94,5.5,DEF,2,3,0,2,0,2059,8.4,8,5,23,428
Mendy,Man City,49,5.5,DEF,0,2,0,2,0,1114,1.1,5,1,12,267
Trippier,Spurs,0,5.5,DEF,0,0,0,0,0,0,0.1,0,0,0,0
Emerson,Chelsea,18,5.4,DEF,0,0,0,0,0,1020,0.7,1,7,21,179
Young,Man Utd,24,5.4,DEF,0,0,0,5,0,953,0.3,2,0,10,158
Shaw,Man Utd,46,5.4,DEF,0,0,0,5,0,1233,0.8,5,4,11,261
Jonny,Wolves,74,5.4,DEF,1,2,0,4,0,2193,0.9,6,4,29,368
Wan-Bissaka,Man Utd,85,5.3,DEF,0,2,0,5,0,2330,14.4,7,1,28,477
Mina,Everton,73,5.3,DEF,2,1,0,3,0,2085,2.2,5,10,36,380
Coleman,Everton,34,5.3,DEF,0,1,0,3,1,1189,1.1,3,3,20,207
Maguire,Man Utd,89,5.3,DEF,1,0,0,4,0,2610,10.8,8,8,30,499
Evans,Leicester,108,5.3,DEF,1,2,0,5,0,2574,6.4,10,7,28,576
Gomez,Liverpool,76,5.3,DEF,0,0,0,3,0,1277,5.1,10,0,5,332
Lovren,Liverpool,17,5.3,DEF,0,1,0,1,0,759,0.2,0,1,11,143
Delph,Everton,24,5.3,DEF,0,0,0,3,1,1187,0.2,2,0,24,202
Stones,Man City,24,5.3,DEF,0,0,0,0,0,904,1,2,1,15,183
Lindelof,Man Utd,79,5.3,DEF,1,0,0,5,0,2340,1.2,7,1,27,434
Ritchie,Newcastle,30,5.3,DEF,0,0,0,3,0,712,0.2,5,2,8,137
Davies,Spurs,10,5.3,DEF,0,0,0,2,0,630,0.1,0,0,13,84
Alderweireld,Spurs,66,5.3,DEF,1,2,0,4,0,2417,4.7,4,3,36,460
Rose,Newcastle,31,5.3,DEF,0,0,0,6,0,1242,1.3,3,0,19,201
Sanchez,Spurs,39,5.3,DEF,0,1,0,5,0,1890,0.9,2,3,31,340
Tierney,Arsenal,5,5.3,DEF,0,0,0,1,0,296,0.3,0,0,6,51
Kolasinac,Arsenal,35,5.2,DEF,0,2,0,3,0,1103,0.5,2,0,19,222
Tarkowski,Burnley,101,5.2,DEF,1,2,0,8,0,2610,3.9,11,3,40,515
Keane,Everton,55,5.2,DEF,1,0,0,0,0,1746,1.9,4,3,32,307
Matip,Liverpool,33,5.2,DEF,1,0,0,0,0,631,1.1,2,1,5,143
Zinchenko,Man City,31,5.2,DEF,0,0,0,0,1,905,2.3,4,2,12,197
Smalling,Man Utd,0,5.2,DEF,0,0,0,0,0,0,0.1,0,0,0,0
Stevens,Sheffield Utd,110,5.2,DEF,2,2,0,5,0,2445,2.8,10,4,25,498
Vertonghen,Spurs,52,5.2,DEF,1,1,0,2,0,1543,1.6,3,2,23,307
Mustafi,Arsenal,26,5.1,DEF,0,2,0,0,0,620,0.4,2,2,9,144
Baldock,Sheffield Utd,115,5.1,DEF,2,4,0,6,0,2520,11.2,10,4,25,456
Coady,Wolves,83,5.1,DEF,0,0,0,3,0,2610,2,8,0,34,485
James,Chelsea,45,5.1,DEF,0,2,0,1,0,1065,0.9,3,2,14,257
Cancelo,Man City,25,5.1,DEF,0,0,0,2,0,783,0.8,2,3,10,180
Monreal,Arsenal,10,5,DEF,0,0,0,0,0,270,0.2,1,0,4,54
Koscielny,Arsenal,0,5,DEF,0,0,0,0,0,0,0.1,0,0,0,0
Steve Cook,Bournemouth,46,5,DEF,1,0,0,4,1,1848,0.2,3,1,36,311
Mee,Burnley,87,5,DEF,0,2,0,7,0,2610,1.2,11,6,40,476
Tomkins,Crystal Palace,48,5,DEF,1,1,0,5,0,1582,0.3,3,3,23,260
Sakho,Crystal Palace,7,5,DEF,0,0,0,0,1,465,0.1,0,0,8,69
Danilo,Man City,0,5,DEF,0,0,0,0,0,0,0,0,0,0,0
Schar,Newcastle,53,5,DEF,2,1,0,4,0,1394,1.2,4,6,28,258
Sidibe,Everton,64,5,DEF,0,4,0,3,0,1638,1,4,2,29,343
Baines,Everton,11,4.9,DEF,0,1,0,0,0,332,0.2,0,0,6,75
Soyuncu,Leicester,103,4.9,DEF,1,1,0,4,0,2520,15.9,10,4,27,577
Otamendi,Man City,66,4.9,DEF,2,1,0,3,0,1413,2.3,5,6,19,311
Bailly,Man Utd,7,4.9,DEF,0,0,0,0,0,102,0.1,1,0,0,31
Dalot,Man Utd,4,4.9,DEF,0,0,0,0,0,65,0.1,0,0,1,10
Darmian,Man Utd,0,4.9,DEF,0,0,0,0,0,0,0,0,0,0,0
Lundstram,Sheffield Utd,128,4.9,DEF,4,4,0,4,0,2065,39.1,9,8,20,463
Aurier,Spurs,85,4.9,DEF,1,6,0,1,1,1909,5.7,5,4,27,460
Sokratis,Arsenal,57,4.8,DEF,2,0,0,6,0,1696,1.4,4,2,25,305
Duffy,Brighton,36,4.8,DEF,1,0,0,1,0,1071,0.9,2,1,15,187
Ake,Bournemouth,67,4.8,DEF,2,1,0,1,0,2014,6.5,3,6,33,403
Christensen,Chelsea,22,4.8,DEF,0,0,0,5,0,1256,0.6,2,1,24,222
Rojo,Man Utd,3,4.8,DEF,0,0,0,1,0,121,0.1,0,0,2,9
Bertrand,Southampton,49,4.8,DEF,1,1,0,3,1,2022,0.8,4,3,45,302
Foyth,Spurs,3,4.8,DEF,0,0,0,1,0,66,0,0,0,3,9
